timestamp,cpu[node1][service1]:1,memory[node1][service1]:2,disk_read[node1][service1]:3,disk_write[node1][service1]:4,network_receive[node1][service1]:5,network_send[node1][service1]:6,cpu[node2][service1]:1,memory[node2][service1]:2,disk_read[node2][service1]:3,disk_write[node2][service1]:4,network_receive[node2][service1]:5,network_send[node2][service1]:6,cpu[node3][service2]:1,memory[node3][service2]:2,disk_read[node3][service2]:3,disk_write[node3][service2]:4,network_receive[node3][service2]:5,network_send[node3][service2]:6,cpu[node4][service2]:1,memory[node4][service2]:2,disk_read[node4][service2]:3,disk_write[node4][service2]:4,network_receive[node4][service2]:5,network_send[node4][service2]:6,cpu[node5][service2]:1,memory[node5][service2]:2,disk_read[node5][service2]:3,disk_write[node5][service2]:4,network_receive[node5][service2]:5,network_send[node5][service2]:6
1442555275000,8.7380231,1050.804224,2.732032,0,46.175,43.11,3.4068913,1138.601984,0.262144,0,5.853,4.709,3.5621096,1628.110848,1.800192,0,7.458,6.303,2.8296526,1264.095232,0.004096,0,5.119,4.932,3.8720168,1713.414144,0.004096,0,7.772,7.607
1442555336000,5.5654848,1072.873472,2.660352,0,30.342,27.591,1.7036675,1134.46912,0.032768,0,4.211,4.197,2.0013945,1621.93408,0.575488,0,4.033,3.53,1.7999406,1264.930816,0,0,5.399,4.72,1.6588607,1711.345664,0,0,3.266,3.376
1442555397000,7.0453733,1078.009856,2.482176,0,44.761,42.019,2.5252425,1133.842432,0.065536,0,6.401,5.038,2.2465352,1628.061696,2.117632,0,7.609,6.333,2.7270371,1241.595904,0,0,6.045,5.455,2.6808957,1714.76992,0,0,6.111,5.851
1442555457000,7.3391743,1097.367552,2.711552,0,37.253,35.301,3.3210812,1139.24096,0.098304,0,6.902,6.544,2.5287536,1627.447296,1.683456,0,5.328,4.66,3.1230276,1213.743104,0.090112,0,5.626,4.671,2.6102019,1719.7056,0,0,5.153,3.885
1442555517000,6.488525,1098.46528,3.731456,0,49.01,46.438,2.3300133,1142.796288,0.065536,0,6.015,5.283,2.4738245,1637.482496,2.019328,0,5.822,5.963,2.687311,1200.386048,0,0,7.274,6.256,2.1199127,1721.102336,0,0,8.319,7.255
1442555577000,8.6754222,1099.259904,4.54656,0,50.038,46.677,3.1377512,1219.805184,0.065536,0,6.628,4.867,3.3364378,1632.292864,1.298432,0,6.122,5.466,3.1246996,1201.053696,0,0,7.84,7.429,3.1033786,1720.459264,0,0,6.508,5.821
1442555637000,8.8233972,1099.145216,4.308992,0,50.456,47.226,3.1826687,1226.412032,0,0,7.184,6.977,3.0291741,1645.355008,1.31072,0,5.31,5.258,3.471829,1169.526784,0,0,6.873,5.941,3.4357024,1720.15616,0,0,8.604,7.362
1442555697000,8.3390728,1101.021184,3.571712,0,56.426,53.281,3.1422758,1234.915328,0,0,7.827,6.31,2.214883,1646.01856,1.308672,0,6.639,5.677,3.1025284,1159.9872,0,0,7.57,6.186,6.8750121,1716.297728,0.032768,0,9.574,8.464
1442555757000,10.2822911,1093.435392,2.940928,0,64.124,60.517,3.4852079,1222.807552,0,0,7.741,7.12,3.875427,1643.896832,1.978368,0,10.108,8.389,3.4761696,1091.534848,0,0,7.278,6.467,3.3899614,1719.701504,0,0,10.782,9.204
1442555817000,9.2595392,1095.094272,3.244032,0,53.138,50.474,3.3930914,1224.74496,0.032768,0,8.478,7.291,3.1178732,1642.938368,2.000896,0,5.708,5.678,3.6516831,1089.80224,0,0,7.074,5.598,3.529915,1720.922112,0,0,8.065,7.137
1442555877000,8.0101223,1099.44832,2.097152,0,47.852,44.833,1.4640421,1226.436608,0.032768,0,6.533,5.218,6.7150868,1647.742976,2.107392,0,5.405,5.465,3.2892588,1086.132224,0,0,5.542,4.86,3.6394281,1724.260352,0,0,9.293,7.867
1442555937000,8.2809416,1094.885376,2.465792,0,51.368,48.283,3.1122787,1225.785344,0.065536,0,6.387,5.695,2.8422144,1644.347392,2.074624,0,7.068,6.393,3.8319949,1083.88352,0,0,6.651,6.257,3.6250044,1722.65472,0,0,8.125,7.951
1442555998000,10.141166,1096.323072,2.490368,0,55.964,52.326,3.1302174,1231.302656,0.098304,0,7.244,7.1,4.0664125,1645.056,2.10944,0,8.269,7.029,3.9382872,1085.58336,0,0,7.294,6.657,3.6005464,1721.32352,0,0,7.471,7.158
1442556059000,9.5354086,1096.577024,3.059712,0,64.051,59.054,3.3778292,1232.797696,0.032768,0,8.328,7.677,4.1334735,1647.140864,2.469888,0,8.45,7.719,2.6586687,1083.33056,0,0,7.63,6.4,5.1504049,1723.76064,0,0,9.446,8.639
1442556120000,6.0229561,1098.964992,3.649536,0,44.982,42.38,2.2098334,1247.780864,0,0,6.779,5.149,2.1916481,1646.882816,1.8432,0,4.851,4.934,1.9543879,1081.573376,0,0,7.875,6.931,5.4201203,1723.977728,0,0,7.534,6.06
1442556180000,7.5485225,1099.677696,3.428352,0,52.084,48.748,2.3772282,1249.0752,0,0,6.433,5.545,3.3888883,1648.340992,1.531904,0,7.1,6.26,3.0387455,1084.993536,0,0,7.837,6.788,2.3406992,1724.223488,0,0,7.599,6.717
1442556241000,8.0233689,1101.062144,3.067904,0,51.311,48.04,2.7369976,1250.045952,0,0,5.53,4.416,2.064922,1648.787456,1.554432,0,6.258,5.645,3.1301115,1081.663488,0,0,8.698,7.735,2.7153856,1725.31712,0,0,7.594,5.979
1442556301000,9.6535341,1100.169216,1.421312,0,56.786,52.169,2.6848711,1252.57728,0,0,6.483,6.385,7.7133596,1648.76288,1.753088,0,6.456,5.655,3.579517,1080.356864,0,0,6.69,5.38,3.8476313,1726.676992,0,0,9.626,8.959
1442556361000,9.4405336,1094.475776,2.465792,0,52.071,48.938,2.8098507,1249.452032,0,0,7.142,7.167,2.0919822,1630.896128,0.73728,0,4.952,3.635,4.3698559,1047.57248,0,0,9.064,8.127,2.1940342,1719.549952,0,0,6.635,6.421
1442556421000,8.4966685,1099.575296,2.801664,0,49.59,47.14,1.8795001,1249.931264,0,0,5.921,5.032,3.0394595,1635.876864,2.074624,0,7.3,6.494,2.9347563,1052.356608,0,0,8.084,6.669,3.1229739,1723.355136,0,0,6.87,6.47
1442556481000,7.8298521,1097.940992,3.31776,0,42.806,40.645,3.9965964,1258.991616,0.032768,0,6.635,5.689,2.2821385,1632.088064,1.529856,0,4.323,4.061,2.7833712,1047.236608,0,0,7.52,6.225,3.6449531,1723.916288,0,0,7.318,5.882
1442556542000,8.7223353,1097.85088,2.920448,0,50.267,47.079,3.3747956,1258.749952,0.065536,0,7.143,6.372,2.6437217,1641.0624,2.015232,0,7.995,7.062,2.4830353,1044.512768,0,0,6.995,6.098,3.0614454,1723.629568,0,0,6.367,5.387
1442556603000,9.9504509,1097.54368,2.78528,0,47.911,44.17,3.1304153,1259.433984,0,0,6.116,5.561,3.2073566,1640.747008,1.460224,0,5.681,5.432,4.505259,1039.577088,0,0,7.258,6.747,3.1784204,1724.407808,0,0,7.123,6.357
1442556664000,9.1889731,1099.411456,3.780608,0.02048,63.563,59.77,3.6091197,1259.196416,0,0,8.181,6.408,3.5373651,1640.763392,1.65888,0.012288,7.879,7.005,3.3832646,1031.524352,0,0,8.305,7.419,3.4226311,1725.116416,0,0,10.764,9.478
