timestamp, cpu[node1]:1,memory[node1]:2,disk_read[node1]:3,disk_write[node1]:4,network_receive[node1]:5,network_send[node1]:6, cpu[node2]:1,memory[node2]:2,disk_read[node2]:3,disk_write[node2]:4,network_receive[node2]:5,network_send[node2]:6, cpu[node3]:1,memory[node3]:2,disk_read[node3]:3,disk_write[node3]:4,network_receive[node3]:5,network_send[node3]:6, cpu[node4]:1,memory[node4]:2,disk_read[node4]:3,disk_write[node4]:4,network_receive[node4]:5,network_send[node4]:6, cpu[node5]:1,memory[node5]:2,disk_read[node5]:3,disk_write[node5]:4,network_receive[node5]:5,network_send[node5]:6
1442853541000,0.3085915,1609.3184,0.0,0.0,0.837,0.874,0.2850924,1484.668928,0.0,0.0,1.086,1.032,0.3057226,1433.305088,0.0,0.0,0.852,0.825,0.196377,1511.743488,0.0,0.0,0.792,0.85,0.2577666,1405.263872,0.0,0.0,1.087,1.073
1442853603000,9.2856282,1575.559168,1.871872,0.0,57.345,53.9,4.241061,1518.252032,1.701888,0.0,9.415,8.858,3.7213078,1453.44512,1.486848,0.0,8.539,6.583,2.5453482,1533.444096,1.314816,0.0,5.816,5.044,3.8383389,1424.785408,2.246656,0.008192,7.054,6.543
1442853664000,10.6987477,1569.644544,2.234368,0.0,69.533,65.395,4.5311237,1544.613888,1.261568,0.0,12.139,9.662,3.9747478,1454.215168,2.279424,0.0,8.685,8.116,3.0986336,1532.424192,1.509376,0.0,6.627,5.518,3.9514771,1424.150528,3.037184,0.0,11.097,9.077
1442853726000,7.9018865,1574.473728,1.705984,0.0,68.801,63.758,3.1633041,1547.845632,2.51904,0.0,10.923,9.507,3.0656052,1451.302912,2.159957,0.0,10.292,8.462,2.3085119,1532.678144,2.050048,0.0,6.945,5.792,3.4080159,1418.747904,2.674688,0.0,8.052,7.899
1442853789000,10.6617469,1571.045376,1.338026,0.0,46.969,44.163,4.0055244,1550.823424,0.789162,0.0,7.843,6.431,4.6800373,1446.866944,2.65216,0.0,10.984,9.6,3.6261394,1533.988864,1.630208,0.0,5.226,4.695,4.2490901,1420.849152,1.878698,0.0,5.79,5.783
1442853850000,7.6090016,1571.549184,1.069056,0.0,59.863,55.429,3.1286232,1546.334208,2.203648,0.012288,20.957,15.989,2.7638198,1444.880384,4.272128,0.0,16.3,13.386,2.3409619,1527.78752,1.540096,0.008192,7.449,5.96,2.714675,1450.47552,2.623488,0.0,8.396,7.031
1442853912000,6.7306747,1577.189376,2.1504,0.014336,44.246,41.494,7.327975,1546.981376,1.488896,0.0,6.809,5.865,2.536092,1444.401152,1.046528,0.008192,5.133,4.783,2.3031555,1533.956096,2.050048,0.0,5.598,5.405,2.6000504,1443.729408,1.579008,0.012288,5.598,5.115
1442853974000,9.6431475,1564.147712,2.668544,0.0,77.212,72.979,4.1483722,1547.710464,2.502656,0.0,12.934,10.855,4.3232017,1455.304704,1.716224,0.0,12.773,9.933,3.0839005,1534.107648,2.039808,0.0,6.34,5.702,4.3554048,1444.70016,2.72384,0.0,11.42,9.435
1442854036000,9.033392,1563.480064,0.968704,0.0,40.216,37.633,3.4254927,1548.238848,1.78176,0.0,10.833,8.45,4.1973531,1456.738304,2.695168,0.0,8.81,8.691,2.6419468,1534.488576,1.42336,0.0,5.269,4.594,2.4795426,1444.524032,2.287616,0.0,6.407,6.732
1442854097000,8.8218884,1567.174656,1.947648,0.0,66.803,62.43,3.9464129,1549.488128,1.859584,0.0,11.057,9.7,3.1069296,1455.521792,1.15712,0.0,8.602,6.948,3.2071249,1528.508416,1.765376,0.0,7.663,5.994,3.6279413,1446.11328,1.994752,0.0,9.178,7.739
1442854159000,7.1460288,1554.980864,1.23904,0.0,68.535,63.795,2.7982141,1550.176256,1.284096,0.0,11.139,8.687,2.2594758,1458.42176,2.736128,0.0,11.272,9.342,2.4235168,1520.422912,3.416064,0.024576,15.436,12.776,2.7555141,1447.686144,4.411392,0.0,17.039,15.825
1442854221000,7.4408616,1554.837504,2.564096,0.02048,111.313,104.358,3.0915994,1548.005376,3.764224,0.016384,19.84,18.539,2.3792842,1455.632384,3.219456,0.016384,18.183,15.683,1.9561995,1519.427584,2.295808,0.0,5.735,5.363,1.5312893,1452.412928,2.56,0.0,11.236,9.72
