timestamp, cpu[node1]:1,memory[node1]:2,disk_read[node1]:3,disk_write[node1]:4,network_receive[node1]:5,network_send[node1]:6, cpu[node2]:1,memory[node2]:2,disk_read[node2]:3,disk_write[node2]:4,network_receive[node2]:5,network_send[node2]:6, cpu[node3]:1,memory[node3]:2,disk_read[node3]:3,disk_write[node3]:4,network_receive[node3]:5,network_send[node3]:6, cpu[node4]:1,memory[node4]:2,disk_read[node4]:3,disk_write[node4]:4,network_receive[node4]:5,network_send[node4]:6, cpu[node5]:1,memory[node5]:2,disk_read[node5]:3,disk_write[node5]:4,network_receive[node5]:5,network_send[node5]:6
1442948661000,7.2498994,1380.544512,1.490944,0.0,67.902,63.248,3.0135816,1258.307584,0.0,0.0,8.684,8.137,3.3145632,1292.505088,1.755136,0.012288,9.361,8.464,2.4400278,1187.344384,1.036288,0.0,7.121,6.017,2.7996536,1269.366784,2.361344,0.0,9.802,8.11
1442948722000,5.3429567,1380.327424,1.1264,0.012288,38.067,35.295,2.6589507,1254.633472,0.0,0.0,7.883,7.315,1.6588431,1294.307328,1.29024,0.008192,5.166,4.727,1.9851308,1190.0928,2.179072,0.0,4.458,4.518,1.2877638,1259.053056,0.876544,0.008192,3.28,3.476
1442948783000,6.9560889,1383.432192,2.224128,0.012288,61.426,57.15,3.6329655,1267.744768,0.0,0.0,8.592,8.464,3.4986788,1290.71104,1.773568,0.0,9.633,8.199,2.5810117,1190.912,1.511424,0.0,6.914,6.276,2.3589243,1257.639936,1.376256,0.016384,7.411,5.668
1442948844000,6.7045492,1383.596032,1.560576,0.0,50.394,47.179,3.1868973,1261.654016,0.0,0.0,10.037,8.305,2.3386845,1283.33824,2.03776,0.0,6.182,5.714,1.2267415,1189.15072,0.598016,0.0,4.364,3.857,3.273356,1254.371328,2.125824,0.0,6.232,6.155
1442948904000,7.7324055,1382.449152,2.494464,0.0,66.42,61.949,3.5583301,1255.026688,0.0,0.0,11.238,10.226,3.0972981,1295.818752,1.488896,0.0,8.896,7.519,2.9650394,1187.028992,1.585152,0.0,7.187,6.54,2.6611816,1251.110912,1.548288,0.0,8.06,6.686
1442948965000,8.0002665,1381.306368,2.49856,0.0,67.866,63.445,3.5785897,1252.319232,0.0,0.0,11.537,9.665,3.3103234,1293.524992,1.13664,0.0,9.32,7.919,3.1669817,1195.06944,1.302528,0.0,7.765,6.669,2.5612709,1249.03424,2.009088,0.0,8.821,7.63
1442949026000,7.1207136,1384.157184,2.476032,0.0,46.601,44.3,3.4369641,1250.353152,0.02048,0.0,7.509,6.707,2.0695464,1292.353536,1.626112,0.0,7.4,6.727,2.3491766,1192.63232,1.122304,0.0,3.791,3.73,2.1000681,1246.86336,2.048,0.0,6.911,5.671
1442949087000,6.1291401,1384.77568,1.538048,0.0,64.042,59.34,2.5297708,1265.635328,0.004096,0.0,10.481,9.157,2.3389707,1287.602176,2.127872,0.0,9.625,8.027,2.2104236,1195.352064,1.859584,0.0,5.345,5.189,1.9321156,1248.403456,1.701888,0.0,7.899,6.791
1442949148000,7.1207651,1382.74816,2.236416,0.0,56.088,52.409,3.2733743,1258.840064,0.004096,0.0,10.014,8.767,3.7039321,1299.935232,1.830912,0.0,7.13,6.887,2.8838059,1193.373696,0.974848,0.0,7.34,5.772,2.260915,1246.39232,1.458176,0.0,6.239,5.119
1442949209000,8.6120949,1387.900928,1.96608,0.0,66.072,61.653,3.6777077,1257.725952,0.0,0.0,8.898,8.483,3.9265115,1300.197376,2.220032,0.0,10.669,9.099,2.8150396,1192.374272,1.398784,0.01024,8.126,6.747,3.2672008,1252.982784,1.49504,0.0,7.492,5.802
1442949270000,8.8697756,1384.59136,1.880064,0.0,57.588,53.693,4.5118894,1256.501248,0.032768,0.0,11.574,10.355,3.5325704,1297.584128,2.342912,0.0,7.586,7.374,2.9171292,1192.497152,1.763328,0.01024,6.046,5.31,2.5626741,1257.234432,1.171456,0.0,5.597,4.728
1442949331000,6.8669529,1385.283584,2.308096,0.0,59.676,55.899,3.414412,1256.943616,0.004096,0.0,9.128,8.012,3.2389352,1293.615104,1.468416,0.004096,8.832,7.037,2.2441728,1190.170624,1.941504,0.0,8.438,7.246,2.3557522,1262.198784,0.667648,0.0,6.426,4.776
1442949392000,5.7055648,1380.855808,1.472512,0.006144,47.872,44.761,2.8183284,1256.153088,0.0,0.0,7.969,7.32,2.9284577,1286.20544,1.173504,0.006144,7.697,6.426,1.4693434,1185.734656,1.179648,0.0,5.018,4.436,1.7829558,1284.907008,1.25952,0.008192,5.883,4.625
1442949453000,7.4407933,1380.102144,1.456128,0.012288,67.777,63.026,2.7407065,1256.69376,0.0,0.0,9.553,8.274,2.9441131,1278.795776,1.705984,0.0,9.761,7.815,2.609805,1193.525248,1.736704,0.0,8.91,7.365,2.9702709,1286.47168,2.265088,0.01024,8.603,7.644
1442949514000,8.3100132,1380.458496,2.111488,0.0,66.273,62.294,4.6917345,1254.539264,0.0,0.0,11.151,10.702,3.1013508,1277.169664,1.253376,0.0,8.695,6.973,2.6140278,1195.298816,1.54624,0.0,7.576,6.929,3.3370319,1278.0544,1.736704,0.0,8.102,6.872
1442949574000,9.5924962,1386.180608,2.22208,0.0,77.238,71.93,4.1794391,1256.235008,0.0,0.0,12.722,11.739,4.1151749,1274.138624,2.168832,0.0,12.051,10.982,2.4132288,1193.82016,1.058816,0.0,6.933,5.617,3.7256561,1286.844416,2.453504,0.0,10.172,9.261
